,MarketName,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Region,Median Age,Population,Poverty Count,Household Income,Per Capita Income,Yelp Results,Yelp Price,Yelp Rating
0, Caledonia Farmers Market Association - Danville,Danville,Caledonia,Vermont,05828,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411036,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 10:43:57 PM,Northeast,51.2,2011.0,186.0,52292.0,29717.0,,,
1,Barre Farmers Market,Barre,Washington,Vermont,05641,05/31/2017 to 10/04/2017,Wed: 4:00 PM-7:30 PM;,,,,,,,-72.4975505,44.1970059,Y,N,N,N,Y,-,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,7/4/2017 10:33:01 AM,Northeast,42.6,17298.0,1848.0,49077.0,27985.0,,,
2,Bethel Farmers Market,Bethel,Windsor,Vermont,05089,,,,,,,,,-72.6461,43.8444,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Northeast,46.2,4974.0,565.0,46097.0,27084.0,,,
3,Bradford Farmers Market,Bradford,Orange,Vermont,05033,05/18/2014 to 10/19/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-72.1257698,43.9984091,N,Y,Y,Y,N,-,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/9/2014 10:03:26 AM,Northeast,40.3,2729.0,547.0,43021.0,23173.0,,,
4,Brandon Farmers Market,Brandon,Rutland,Vermont,05733,05/22/2015 to 10/09/2015,Fri: 9:00 AM-2:00 PM;,,,,,,,-73.086312,43.791861,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 3:34:19 PM,Northeast,47.7,5799.0,580.0,53504.0,26931.0,,,
5,Brattleboro Area Farmers' Market,Brattleboro,Windham,Vermont,05302,05/03/2014 to 10/25/2014,Sat: 9:00 AM-2:00 PM;,,,,,,,-72.5578619,42.8509348,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,4/21/2014 11:33:32 AM,Northeast,,,,,,,,
6,Brattleboro Area Farmers' Market - Downtown Market,Brattleboro,Windham,Vermont,05301,05/30/2017 to 09/26/2017,Tue: 4:00 PM-7:00 PM;,,,,,,,-72.5578678,42.8509152,Y,N,N,N,Y,-,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2017 4:03:20 PM,Northeast,44.1,16819.0,2283.0,49552.0,28510.0,,,
7,Brattleboro WInter Farmers Market,Brattleboro ,Windham,Vermont,05301,11/07/2015 to 03/26/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-72.55826400000002,42.853247,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/23/2015 10:14:34 PM,Northeast,44.1,16819.0,2283.0,49552.0,28510.0,,,
8,Bristol Farmers' Market,Bristol,Addison,Vermont,05443,,Wed: 3:00 PM-6:00 PM;Sat: 10:00 AM-1:00 PM;,,,,,,,-73.079252,44.133497,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/22/2014 7:44:18 PM,Northeast,45.5,6467.0,579.0,59963.0,27723.0,"{'id': 'RPdn9BpxhkNsL3185YxA6g', 'alias': 'bristol-farmers-market-bristol-2', 'name': 'Bristol Farmers Market', 'image_url': '', 'is_closed': False, 'url': 'https://www.yelp.com/biz/bristol-farmers-market-bristol-2?adjust_creative=SuN2rTgskES34_QFwQFCJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SuN2rTgskES34_QFwQFCJg', 'review_count': 1, 'categories': [{'alias': 'farmersmarket', 'title': 'Farmers Market'}], 'rating': 5.0, 'coordinates': {'latitude': 44.105751, 'longitude': -73.0770721}, 'transactions': [], 'location': {'address1': 'Bristol Town Green', 'address2': '', 'address3': '', 'city': 'Bristol', 'zip_code': '05443', 'country': 'US', 'state': 'VT', 'display_address': ['Bristol Town Green', 'Bristol, VT 05443']}, 'phone': '+18024537999', 'display_phone': '(802) 453-7999', 'distance': 81.63864598444347}",,5.0
9,Burlington Farmers Market,Burlington ,Chittenden,Vermont,05401,05/07/2016 to 10/29/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.213445,44.476556,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,6/28/2016 8:33:41 PM,Northeast,27.5,27908.0,8189.0,36348.0,26259.0,"{'id': '1W8LiavS5om4adukAhg4eQ', 'alias': 'burlington-farmers-market-burlington', 'name': ""Burlington Farmer's Market"", 'image_url': 'https://s3-media3.fl.yelpcdn.com/bphoto/VC5GPfcGF3787g-9lpmlrw/o.jpg', 'is_closed': False, 'url': 'https://www.yelp.com/biz/burlington-farmers-market-burlington?adjust_creative=SuN2rTgskES34_QFwQFCJg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SuN2rTgskES34_QFwQFCJg', 'review_count': 70, 'categories': [{'alias': 'farmersmarket', 'title': 'Farmers Market'}], 'rating': 4.5, 'coordinates': {'latitude': 44.476893476974, 'longitude': -73.213754972012}, 'transactions': [], 'price': '$$', 'location': {'address1': '149 Church St', 'address2': '', 'address3': '', 'city': 'Burlington', 'zip_code': '05401', 'country': 'US', 'state': 'VT', 'display_address': ['149 Church St', 'Burlington, VT 05401']}, 'phone': '+18023990149', 'display_phone': '(802) 399-0149', 'distance': 44.86672342587409}",$$,4.5
