,MarketName,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,Longitude,Latitude,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime,Region
0, Caledonia Farmers Market Association - Danville,Danville,Caledonia,Vermont,05828,06/14/2017 to 08/30/2017,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,Wed: 2:00 PM-6:00 PM;,,,,,-72.140337,44.411035999999996,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,6/20/2017 10:43:57 PM,Northeast
1,Barre Farmers Market,Barre,Washington,Vermont,05641,05/31/2017 to 10/04/2017,Wed: 4:00 PM-7:30 PM;,,,,,,,-72.4975505,44.1970059,Y,N,N,N,Y,-,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,7/4/2017 10:33:01 AM,Northeast
2,Bethel Farmers Market,Bethel,Windsor,Vermont,05089,,,,,,,,,-72.6461,43.8444,N,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009,Northeast
3,Bradford Farmers Market,Bradford,Orange,Vermont,05033,05/18/2014 to 10/19/2014,Sun: 10:00 AM-2:00 PM;,,,,,,,-72.1257698,43.9984091,N,Y,Y,Y,N,-,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,4/9/2014 10:03:26 AM,Northeast
4,Brandon Farmers Market,Brandon,Rutland,Vermont,05733,05/22/2015 to 10/09/2015,Fri: 9:00 AM-2:00 PM;,,,,,,,-73.086312,43.791861,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,4/23/2015 3:34:19 PM,Northeast
5,Brattleboro Area Farmers' Market,Brattleboro,Windham,Vermont,05302,05/03/2014 to 10/25/2014,Sat: 9:00 AM-2:00 PM;,,,,,,,-72.5578619,42.8509348,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,4/21/2014 11:33:32 AM,Northeast
6,Brattleboro Area Farmers' Market - Downtown Market,Brattleboro,Windham,Vermont,05301,05/30/2017 to 09/26/2017,Tue: 4:00 PM-7:00 PM;,,,,,,,-72.5578678,42.8509152,Y,N,N,N,Y,-,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,6/28/2017 4:03:20 PM,Northeast
7,Brattleboro WInter Farmers Market,Brattleboro ,Windham,Vermont,05301,11/07/2015 to 03/26/2016,Sat: 10:00 AM-2:00 PM;,,,,,,,-72.55826400000001,42.853246999999996,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,4/23/2015 10:14:34 PM,Northeast
8,Bristol Farmers' Market,Bristol,Addison,Vermont,05443,,Wed: 3:00 PM-6:00 PM;Sat: 10:00 AM-1:00 PM;,,,,,,,-73.079252,44.133497,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,4/22/2014 7:44:18 PM,Northeast
9,Burlington Farmers Market,Burlington ,Chittenden,Vermont,05401,05/07/2016 to 10/29/2016,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.213445,44.476556,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,6/28/2016 8:33:41 PM,Northeast
10,Burlington New North End Farmers Market,Burlington ,Chittenden,Vermont,05408,05/22/2014 to 09/25/2014,Thu: 3:30 PM-6:30 PM;,,,,,,,-73.23953,44.502415,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,5/5/2014 9:34:45 AM,Northeast
